Temps;Canal A;Canal B
(ms);(V);(V)

0,00000000;0,00762963;0,63692130
0,16384000;0,00762963;0,63692130
0,32768000;0,00762963;0,63692130
0,49152000;0,00762963;0,63692130
0,65536000;0,00762963;0,63692130
0,81920000;0,00762963;0,63692130
0,98303999;0,00762963;0,63692130
1,14687999;0,00762963;0,63692130
1,31071999;0,00762963;0,63692130
1,47455999;0,09735405;0,63692130
1,63839999;0,45655690;0,63692130
1,80223999;0,81575980;0,63692130
1,96607999;1,17496300;0,63692130
2,12991999;1,62389000;0,63692130
2,29375999;1,98309300;0,63692130
2,45759999;2,43202000;0,63692130
2,62143998;2,88094700;0,63692130
2,78527998;3,33018000;0,63692130
2,94911998;3,77910700;0,63692130
3,11295998;4,13831000;0,63692130
3,27679998;4,58723700;0,63692130
3,44063998;5,03616400;0,63692130
3,60447998;5,39536700;0,63692130
3,76831998;5,84460000;0,72817160
3,93215998;6,29352700;0,63692130
4,09599998;6,38325200;0,63692130
4,25983997;6,38325200;0,63692130
4,42367997;6,38325200;0,72817160
4,58751997;6,38325200;0,63692130
4,75135997;6,38325200;0,63692130
4,91519997;6,38325200;0,63692130
5,07903997;6,38325200;0,63692130
5,24287997;6,38325200;0,63692130
5,40671997;6,38325200;0,63692130
5,57055997;6,38325200;0,63692130
5,73439997;6,38325200;0,63692130
5,89823996;6,38325200;0,63692130
6,06207996;6,38325200;0,63692130
6,22591996;6,38325200;0,63692130
6,38975996;6,38325200;0,63692130
6,55359996;6,38325200;0,63692130
6,71743996;6,38325200;0,63692130
6,88127996;6,38325200;0,63692130
7,04511996;6,38325200;0,63692130
7,20895996;6,38325200;0,63692130
7,37279996;6,38325200;0,63692130
7,53663995;6,38325200;0,63692130
7,70047995;6,38325200;0,63692130
7,86431995;6,38325200;0,63692130
8,02815995;6,38325200;0,63692130
8,19199995;6,38325200;0,63692130
8,35583995;6,38325200;0,63692130
8,51967995;6,38325200;0,63692130
8,68351995;6,38325200;0,63692130
8,84735995;6,38325200;0,63692130
9,01119995;6,38325200;0,63692130
9,17503994;6,38325200;0,63692130
9,33887994;6,38325200;0,63692130
9,50271994;6,38325200;0,63692130
9,66655994;6,38325200;0,63692130
9,83039994;6,38325200;0,63692130
9,99423994;6,38325200;0,63692130
10,15807994;6,38325200;0,63692130
10,32191994;6,38325200;0,63692130
10,48575994;6,38325200;0,63692130
10,64959994;6,38325200;0,63692130
10,81343993;6,38325200;0,63692130
10,97727993;6,38325200;0,63692130
11,14111993;6,38325200;0,63692130
11,30495993;6,38325200;0,63692130
11,46879993;6,38325200;0,63692130
11,63263993;6,38325200;0,63692130
11,79647993;6,38325200;0,63692130
11,96031993;6,38325200;0,63692130
12,12415993;6,38325200;0,63692130
12,28799993;6,38325200;0,63692130
12,45183992;6,38325200;0,63692130
12,61567992;6,38325200;0,63692130
12,77951992;6,38325200;0,63692130
12,94335992;6,29352700;0,63692130
13,10719992;6,02404900;0,63692130
13,27103992;5,57512100;0,63692130
13,43487992;4,85671600;0,63692130
13,59871992;4,04858500;0,72817160
13,76255992;3,15042600;0,63692130
13,92639992;2,43202000;0,63692130
14,09023991;1,62389000;0,63692130
14,25407991;0,72573020;0,63692130
14,41791991;0,18707850;0,63692130
14,58175991;0,00762963;0,63692130
14,74559991;0,00762963;0,63692130
14,90943991;0,00762963;0,63692130
15,07327991;0,00762963;0,63692130
15,23711991;0,00762963;0,63692130
15,40095991;0,00762963;0,72817160
15,56479991;0,00762963;0,63692130
15,72863990;0,00762963;0,63692130
15,89247990;0,00762963;0,63692130
16,05631990;0,00762963;0,63692130
16,22015990;0,00762963;0,63692130
16,38399990;0,00762963;0,63692130
16,54783990;0,00762963;0,63692130
16,71167990;0,00762963;0,63692130
16,87551990;-0,08209479;0,63692130
17,03935990;0,00762963;0,63692130
17,20319990;0,00762963;0,63692130
17,36703989;-0,08209479;0,63692130
17,53087989;0,00762963;0,63692130
17,69471989;0,00762963;0,63692130
17,85855989;0,00762963;0,63692130
18,02239989;0,00762963;0,63692130
18,18623989;0,00762963;0,63692130
18,35007989;0,00762963;0,63692130
18,51391989;0,00762963;0,63692130
18,67775989;0,00762963;0,63692130
18,84159989;-0,08209479;0,63692130
19,00543988;0,00762963;0,63692130
19,16927988;0,00762963;0,63692130
19,33311988;0,00762963;0,63692130
19,49695988;0,00762963;0,63692130
19,66079988;0,00762963;0,63692130
19,82463988;0,00762963;0,63692130
19,98847988;0,00762963;0,63692130
20,15231988;-0,08209479;0,63692130
20,31615988;0,00762963;0,63692130
20,47999988;0,00762963;0,63692130
