Temps;Canal B
(ms);(V)

0,00000000;-0,00061037
0,08192000;-0,00061037
0,16384000;-0,00061037
0,24576000;-0,00061037
0,32768000;-0,00061037
0,40960000;-0,00061037
0,49152000;-0,00061037
0,57344000;-0,00061037
0,65536000;-0,00061037
0,73728000;-0,00061037
0,81920000;-0,00061037
0,90111999;-0,00061037
0,98303999;-0,00061037
1,06495999;-0,00061037
1,14687999;-0,00061037
1,22879999;-0,00061037
1,31071999;-0,00061037
1,39263999;-0,00061037
1,47455999;-0,00061037
1,55647999;-0,00061037
1,63839999;-0,00061037
1,72031999;-0,00061037
1,80223999;-0,00061037
1,88415999;-0,00061037
1,96607999;-0,00061037
2,04799999;-0,00061037
2,12991999;-0,00061037
2,21183999;-0,00061037
2,29375999;-0,00061037
2,37567999;-0,00061037
2,45759999;-0,00061037
2,53951998;-0,00061037
2,62143998;-0,00061037
2,70335998;-0,00061037
2,78527998;-0,00061037
2,86719998;-0,00061037
2,94911998;-0,00061037
3,03103998;-0,00061037
3,11295998;-0,00061037
3,19487998;-0,00061037
3,27679998;-0,00061037
3,35871998;-0,00061037
3,44063998;-0,00061037
3,52255998;-0,00061037
3,60447998;-0,00061037
3,68639998;-0,00061037
3,76831998;-0,00061037
3,85023998;-0,00061037
3,93215998;-0,00061037
4,01407998;-0,00061037
4,09599998;-0,00061037
4,17791997;-0,00061037
4,25983997;-0,00061037
4,34175997;-0,00061037
4,42367997;-0,00061037
4,50559997;-0,00061037
4,58751997;-0,00061037
4,66943997;-0,00061037
4,75135997;-0,00061037
4,83327997;-0,00061037
4,91519997;-0,00061037
4,99711997;-0,00061037
5,07903997;-0,00061037
5,16095997;0,09063997
5,24287997;0,18158510
5,32479997;0,27283550
5,40671997;0,36378060
5,48863997;0,54597620
5,57055997;0,72817160
5,65247997;0,81911680
5,73439997;1,00131200
5,81631996;1,18381300
5,89823996;1,27475800
5,98015996;1,45695400
6,06207996;1,63914900
6,14399996;1,73039900
6,22591996;1,91259500
6,30783996;2,00384500
6,38975996;2,18604100
6,47167996;2,27698600
6,55359996;2,36823600
6,63551996;2,45918200
6,71743996;2,36823600
6,79935996;2,36823600
6,88127996;2,45918200
6,96319996;2,45918200
7,04511996;2,55043200
7,12703996;2,55043200
7,20895996;2,73262700
7,29087996;2,82387800
7,37279996;2,82387800
7,45471995;2,91482300
7,53663995;3,09701800
7,61855995;3,09701800
7,70047995;3,18826900
7,78239995;3,27951900
7,86431995;3,27951900
7,94623995;3,37046400
8,02815995;3,37046400
8,11007995;3,46171500
8,19199995;3,46171500
8,27391995;3,46171500
8,35583995;3,46171500
8,43775995;3,55266000
8,51967995;3,55266000
8,60159995;3,64391000
8,68351995;3,64391000
8,76543995;3,64391000
8,84735995;3,55266000
8,92927995;3,64391000
9,01119995;3,64391000
9,09311994;3,64391000
9,17503994;3,64391000
9,25695994;3,64391000
9,33887994;3,64391000
9,42079994;3,64391000
9,50271994;3,64391000
9,58463994;3,55266000
9,66655994;3,55266000
9,74847994;3,55266000
9,83039994;3,55266000
9,91231994;3,55266000
9,99423994;3,55266000
