Temps;Canal B
(ms);(V)

0,00000000;-0,00061037
0,08192000;-0,00061037
0,16384000;-0,00061037
0,24576000;0,09063997
0,32768000;0,18158510
0,40960000;0,27283550
0,49152000;0,36378060
0,57344000;0,54597620
0,65536000;0,72817160
0,73728000;0,91036710
0,81920000;1,09256300
0,90111999;1,27475800
0,98303999;1,36600900
1,06495999;1,54820400
1,14687999;1,73039900
1,22879999;1,91259500
1,31071999;2,00384500
1,39263999;2,27698600
1,47455999;2,45918200
1,55647999;2,55043200
1,63839999;2,73262700
1,72031999;2,82387800
1,80223999;2,91482300
1,88415999;2,91482300
1,96607999;2,91482300
2,04799999;3,09701800
2,12991999;3,18826900
2,21183999;3,27951900
2,29375999;3,46171500
2,37567999;3,55266000
2,45759999;3,64391000
2,53951998;3,64391000
2,62143998;3,64391000
2,70335998;3,64391000
2,78527998;3,73485500
2,86719998;3,73485500
2,94911998;3,73485500
3,03103998;3,73485500
3,11295998;3,73485500
3,19487998;3,73485500
3,27679998;3,73485500
3,35871998;3,73485500
3,44063998;3,73485500
3,52255998;3,73485500
3,60447998;3,73485500
3,68639998;3,82610600
3,76831998;3,73485500
3,85023998;3,73485500
3,93215998;3,73485500
4,01407998;3,73485500
4,09599998;3,73485500
4,17791997;3,73485500
4,25983997;3,73485500
4,34175997;3,73485500
4,42367997;3,73485500
4,50559997;3,73485500
4,58751997;3,82610600
4,66943997;3,73485500
4,75135997;3,73485500
4,83327997;3,82610600
4,91519997;3,82610600
4,99711997;3,82610600
5,07903997;3,73485500
5,16095997;3,73485500
5,24287997;3,73485500
5,32479997;3,82610600
5,40671997;3,73485500
5,48863997;3,73485500
5,57055997;3,73485500
5,65247997;3,82610600
5,73439997;3,73485500
5,81631996;3,73485500
5,89823996;3,73485500
5,98015996;3,82610600
6,06207996;3,73485500
6,14399996;3,73485500
6,22591996;3,73485500
6,30783996;3,64391000
6,38975996;3,64391000
6,47167996;3,55266000
6,55359996;3,46171500
6,63551996;3,27951900
6,71743996;3,18826900
6,79935996;3,09701800
6,88127996;2,91482300
6,96319996;2,82387800
7,04511996;2,73262700
7,12703996;2,64168200
7,20895996;2,55043200
7,29087996;2,45918200
7,37279996;2,36823600
7,45471995;2,18604100
7,53663995;2,18604100
7,61855995;2,09479000
7,70047995;2,00384500
7,78239995;1,82165000
7,86431995;1,73039900
7,94623995;1,63914900
8,02815995;1,54820400
8,11007995;1,45695400
8,19199995;1,36600900
8,27391995;1,27475800
8,35583995;1,27475800
8,43775995;1,09256300
8,51967995;1,09256300
8,60159995;1,00131200
8,68351995;1,00131200
8,76543995;0,91036710
8,84735995;0,81911680
8,92927995;0,72817160
9,01119995;0,63692130
9,09311994;0,54597620
9,17503994;0,54597620
9,25695994;0,54597620
9,33887994;0,45472580
9,42079994;0,36378060
9,50271994;0,36378060
9,58463994;0,27283550
9,66655994;0,18158510
9,74847994;0,18158510
9,83039994;0,18158510
9,91231994;0,09063997
9,99423994;0,18158510
10,07615994;0,09063997
10,15807994;0,09063997
10,23999994;0,09063997
10,32191994;-0,00061037
10,40383994;-0,00061037
