Temps;Canal B
(ms);(V)

0,00000000;-0,00061037
0,08192000;-0,00061037
0,16384000;-0,00061037
0,24576000;-0,00061037
0,32768000;-0,00061037
0,40960000;-0,00061037
0,49152000;-0,00061037
0,57344000;-0,00061037
0,65536000;-0,00061037
0,73728000;-0,00061037
0,81920000;-0,00061037
0,90111999;-0,00061037
0,98303999;-0,00061037
1,06495999;-0,00061037
1,14687999;-0,00061037
1,22879999;-0,00061037
1,31071999;-0,00061037
1,39263999;-0,00061037
1,47455999;-0,00061037
1,55647999;-0,00061037
1,63839999;-0,00061037
1,72031999;-0,00061037
1,80223999;-0,00061037
1,88415999;-0,00061037
1,96607999;-0,00061037
2,04799999;-0,00061037
2,12991999;-0,00061037
2,21183999;-0,00061037
2,29375999;-0,00061037
2,37567999;-0,00061037
2,45759999;-0,00061037
2,53951998;-0,00061037
2,62143998;-0,00061037
2,70335998;-0,00061037
2,78527998;-0,00061037
2,86719998;-0,00061037
2,94911998;-0,00061037
3,03103998;0,09063997
3,11295998;0,09063997
3,19487998;0,27283550
3,27679998;0,36378060
3,35871998;0,54597620
3,44063998;0,72817160
3,52255998;0,91036710
3,60447998;1,09256300
3,68639998;1,27475800
3,76831998;1,36600900
3,85023998;1,54820400
3,93215998;1,73039900
4,01407998;1,91259500
4,09599998;2,09479000
4,17791997;2,18604100
4,25983997;2,36823600
4,34175997;2,55043200
4,42367997;2,73262700
4,50559997;2,82387800
4,58751997;2,91482300
4,66943997;2,91482300
4,75135997;2,91482300
4,83327997;3,09701800
4,91519997;3,27951900
4,99711997;3,37046400
5,07903997;3,46171500
5,16095997;3,64391000
5,24287997;3,64391000
5,32479997;3,64391000
5,40671997;3,64391000
5,48863997;3,64391000
5,57055997;3,64391000
5,65247997;3,73485500
5,73439997;3,73485500
5,81631996;3,73485500
5,89823996;3,73485500
5,98015996;3,73485500
6,06207996;3,82610600
6,14399996;3,73485500
6,22591996;3,73485500
6,30783996;3,73485500
6,38975996;3,82610600
6,47167996;3,73485500
6,55359996;3,73485500
6,63551996;3,82610600
6,71743996;3,82610600
6,79935996;3,82610600
6,88127996;3,82610600
6,96319996;3,73485500
7,04511996;3,82610600
7,12703996;3,82610600
7,20895996;3,82610600
7,29087996;3,82610600
7,37279996;3,82610600
7,45471995;3,82610600
7,53663995;3,82610600
7,61855995;3,82610600
7,70047995;3,82610600
7,78239995;3,82610600
7,86431995;3,82610600
7,94623995;3,82610600
8,02815995;3,82610600
8,11007995;3,82610600
8,19199995;3,73485500
8,27391995;3,82610600
8,35583995;3,82610600
8,43775995;3,82610600
8,51967995;3,82610600
8,60159995;3,82610600
8,68351995;3,73485500
8,76543995;3,82610600
8,84735995;3,82610600
8,92927995;3,82610600
9,01119995;3,82610600
9,09311994;3,82610600
9,17503994;3,73485500
9,25695994;3,73485500
9,33887994;3,73485500
9,42079994;3,64391000
9,50271994;3,64391000
9,58463994;3,55266000
9,66655994;3,46171500
9,74847994;3,37046400
9,83039994;3,27951900
9,91231994;3,09701800
9,99423994;2,91482300
10,07615994;2,82387800
10,15807994;2,73262700
