Temps;Canal B
(ms);(V)

0,00000000;-0,00061037
0,08192000;-0,00061037
0,16384000;-0,00061037
0,24576000;-0,00061037
0,32768000;-0,00061037
0,40960000;-0,00061037
0,49152000;0,09063997
0,57344000;-0,00061037
0,65536000;0,18158510
0,73728000;0,27283550
0,81920000;0,36378060
0,90111999;0,54597620
0,98303999;0,72817160
1,06495999;0,91036710
1,14687999;1,00131200
1,22879999;1,09256300
1,31071999;1,27475800
1,39263999;1,45695400
1,47455999;1,54820400
1,55647999;1,73039900
1,63839999;1,82165000
1,72031999;1,91259500
1,80223999;2,09479000
1,88415999;2,18604100
1,96607999;2,27698600
2,04799999;2,36823600
2,12991999;2,36823600
2,21183999;2,27698600
2,29375999;2,36823600
2,37567999;2,36823600
2,45759999;2,36823600
2,53951998;2,45918200
2,62143998;2,55043200
2,70335998;2,64168200
2,78527998;2,64168200
2,86719998;2,82387800
2,94911998;2,82387800
3,03103998;2,91482300
3,11295998;3,00607300
3,19487998;3,09701800
3,27679998;3,18826900
3,35871998;3,18826900
3,44063998;3,27951900
3,52255998;3,27951900
3,60447998;3,37046400
3,68639998;3,37046400
3,76831998;3,37046400
3,85023998;3,46171500
3,93215998;3,46171500
4,01407998;3,46171500
4,09599998;3,46171500
4,17791997;3,46171500
4,25983997;3,46171500
4,34175997;3,46171500
4,42367997;3,46171500
4,50559997;3,46171500
4,58751997;3,46171500
4,66943997;3,46171500
4,75135997;3,46171500
4,83327997;3,46171500
4,91519997;3,46171500
4,99711997;3,37046400
5,07903997;3,37046400
5,16095997;3,37046400
5,24287997;3,37046400
5,32479997;3,27951900
5,40671997;3,27951900
5,48863997;3,27951900
5,57055997;3,27951900
5,65247997;3,18826900
5,73439997;3,09701800
5,81631996;3,18826900
5,89823996;3,09701800
5,98015996;3,09701800
6,06207996;3,00607300
6,14399996;3,00607300
6,22591996;3,00607300
6,30783996;2,91482300
6,38975996;2,91482300
6,47167996;2,91482300
6,55359996;2,91482300
6,63551996;2,82387800
6,71743996;2,82387800
6,79935996;2,82387800
6,88127996;2,73262700
6,96319996;2,64168200
7,04511996;2,64168200
7,12703996;2,55043200
7,20895996;2,55043200
7,29087996;2,36823600
7,37279996;2,36823600
7,45471995;2,36823600
7,53663995;2,27698600
7,61855995;2,18604100
7,70047995;2,09479000
7,78239995;2,09479000
7,86431995;2,00384500
7,94623995;2,00384500
8,02815995;2,00384500
8,11007995;1,82165000
8,19199995;1,82165000
8,27391995;1,82165000
8,35583995;1,73039900
8,43775995;1,73039900
8,51967995;1,63914900
8,60159995;1,63914900
8,68351995;1,54820400
8,76543995;1,45695400
8,84735995;1,45695400
8,92927995;1,45695400
9,01119995;1,36600900
9,09311994;1,36600900
9,17503994;1,27475800
9,25695994;1,27475800
9,33887994;1,27475800
9,42079994;1,18381300
9,50271994;1,09256300
9,58463994;1,09256300
9,66655994;1,09256300
9,74847994;1,00131200
9,83039994;1,00131200
9,91231994;0,91036710
9,99423994;1,00131200
10,07615994;0,91036710
10,15807994;0,81911680
10,23999994;0,81911680
10,32191994;0,81911680
10,40383994;0,72817160
