Temps;Canal B
(ms);(V)

0,00000000;1,00131200
0,08192000;1,09256300
0,16384000;1,27475800
0,24576000;1,36600900
0,32768000;1,54820400
0,40960000;1,63914900
0,49152000;1,82165000
0,57344000;2,00384500
0,65536000;2,00384500
0,73728000;2,18604100
0,81920000;2,27698600
0,90111999;2,36823600
0,98303999;2,36823600
1,06495999;2,27698600
1,14687999;2,36823600
1,22879999;2,27698600
1,31071999;2,36823600
1,39263999;2,36823600
1,47455999;2,55043200
1,55647999;2,55043200
1,63839999;2,64168200
1,72031999;2,82387800
1,80223999;2,82387800
1,88415999;2,91482300
1,96607999;3,00607300
2,04799999;3,09701800
2,12991999;3,09701800
2,21183999;3,18826900
2,29375999;3,27951900
2,37567999;3,27951900
2,45759999;3,27951900
2,53951998;3,27951900
2,62143998;3,37046400
2,70335998;3,37046400
2,78527998;3,37046400
2,86719998;3,46171500
2,94911998;3,46171500
3,03103998;3,37046400
3,11295998;3,46171500
3,19487998;3,46171500
3,27679998;3,46171500
3,35871998;3,37046400
3,44063998;3,46171500
3,52255998;3,46171500
3,60447998;3,37046400
3,68639998;3,37046400
3,76831998;3,37046400
3,85023998;3,27951900
3,93215998;3,27951900
4,01407998;3,27951900
4,09599998;3,27951900
4,17791997;3,27951900
4,25983997;3,18826900
4,34175997;3,18826900
4,42367997;3,18826900
4,50559997;3,09701800
4,58751997;3,09701800
4,66943997;3,09701800
4,75135997;3,00607300
4,83327997;3,00607300
4,91519997;2,91482300
4,99711997;2,91482300
5,07903997;2,91482300
5,16095997;2,91482300
5,24287997;2,82387800
5,32479997;2,82387800
5,40671997;2,82387800
5,48863997;2,82387800
5,57055997;2,73262700
5,65247997;2,73262700
5,73439997;2,64168200
5,81631996;2,55043200
5,89823996;2,55043200
5,98015996;2,45918200
6,06207996;2,36823600
6,14399996;2,36823600
6,22591996;2,18604100
6,30783996;2,18604100
6,38975996;2,18604100
6,47167996;2,09479000
6,55359996;2,00384500
6,63551996;2,00384500
6,71743996;1,82165000
6,79935996;1,82165000
6,88127996;1,82165000
6,96319996;1,73039900
7,04511996;1,73039900
7,12703996;1,63914900
7,20895996;1,63914900
7,29087996;1,54820400
7,37279996;1,45695400
7,45471995;1,45695400
7,53663995;1,45695400
7,61855995;1,36600900
7,70047995;1,36600900
7,78239995;1,27475800
7,86431995;1,27475800
7,94623995;1,18381300
8,02815995;1,18381300
8,11007995;1,09256300
8,19199995;1,09256300
8,27391995;1,00131200
8,35583995;1,00131200
8,43775995;0,91036710
8,51967995;0,91036710
8,60159995;0,81911680
8,68351995;0,81911680
8,76543995;0,81911680
8,84735995;0,72817160
8,92927995;0,72817160
9,01119995;0,72817160
9,09311994;0,63692130
9,17503994;0,63692130
9,25695994;0,63692130
9,33887994;0,54597620
9,42079994;0,54597620
9,50271994;0,54597620
9,58463994;0,45472580
9,66655994;0,45472580
9,74847994;0,36378060
9,83039994;0,36378060
9,91231994;0,36378060
9,99423994;0,36378060
10,07615994;0,27283550
10,15807994;0,27283550
10,23999994;0,27283550
10,32191994;0,18158510
10,40383994;0,18158510
