Temps;Canal A;Canal B
(ms);(mV);(mV)

-500,69504976;0,56459240;-3,16476900
-500,36736976;-3,81481300;-3,16476900
-500,03968977;0,56459240;-3,16476900
-499,71200977;-3,81481300;-3,16476900
-499,38432977;0,56459240;-3,16476900
-499,05664977;0,56459240;-3,16476900
-498,72896977;0,56459240;-3,16476900
-498,40128978;0,56459240;-3,16476900
-498,07360978;0,56459240;-3,16476900
-497,74592978;-3,81481300;-3,16476900
-497,41824978;0,56459240;-3,16476900
-497,09056978;-3,81481300;-3,16476900
-496,76288979;0,56459240;-3,16476900
-496,43520979;0,56459240;-3,16476900
-496,10752979;0,56459240;-3,16476900
-495,77984979;0,56459240;-3,60881400
-495,45216979;0,56459240;-3,16476900
-495,12448980;-3,81481300;-3,16476900
-494,79680980;0,56459240;-3,16476900
-494,46912980;-3,81481300;-3,16476900
-494,14144980;0,56459240;-3,60881400
-493,81376980;0,56459240;-3,16476900
-493,48608981;0,56459240;-3,60881400
-493,15840981;-3,81481300;-3,16476900
-492,83072981;-3,81481300;-3,16476900
-492,50304981;0,56459240;-3,16476900
-492,17536981;-3,81481300;-3,16476900
-491,84768982;0,56459240;-3,16476900
-491,52000982;0,56459240;-3,16476900
-491,19232982;0,56459240;-3,16476900
-490,86464982;0,56459240;-3,16476900
-490,53696982;-3,81481300;-3,60881400
-490,20928983;0,56459240;-3,16476900
-489,88160983;0,56459240;-3,16476900
-489,55392983;0,56459240;-3,16476900
-489,22624983;-3,81481300;-3,16476900
-488,89856983;0,56459240;-3,16476900
-488,57088984;-3,81481300;-3,16476900
-488,24320984;0,56459240;-3,16476900
-487,91552984;0,56459240;-3,16476900
-487,58784984;-3,81481300;-3,16476900
-487,26016984;0,56459240;-3,60881400
-486,93248985;0,56459240;-3,16476900
-486,60480985;0,56459240;-3,16476900
-486,27712985;-3,81481300;-3,16476900
-485,94944985;0,56459240;-3,16476900
-485,62176985;0,56459240;-3,16476900
-485,29408986;-3,81481300;-3,16476900
-484,96640986;0,56459240;-3,60881400
-484,63872986;0,56459240;-3,16476900
-484,31104986;-3,81481300;-3,16476900
-483,98336986;-3,81481300;-3,16476900
-483,65568987;-3,81481300;-3,16476900
-483,32800987;0,56459240;-3,16476900
-483,00032987;-3,81481300;-3,16476900
-482,67264987;0,56459240;-3,60881400
-482,34496987;-3,81481300;-3,60881400
-482,01728988;0,56459240;-3,16476900
-481,68960988;0,56459240;-3,16476900
-481,36192988;-3,81481300;-3,16476900
-481,03424988;0,56459240;-3,16476900
-480,70656988;0,56459240;-3,16476900
-480,37888989;-3,81481300;-3,16476900
-480,05120989;-3,81481300;-3,16476900
-479,72352989;0,56459240;-3,16476900
-479,39584989;0,56459240;-3,16476900
-479,06816989;-3,81481300;-3,16476900
-478,74048990;-3,81481300;-3,16476900
-478,41280990;0,56459240;-3,16476900
-478,08512990;0,56459240;-3,16476900
-477,75744990;-3,81481300;-3,60881400
-477,42976990;0,56459240;-3,16476900
-477,10208991;0,56459240;-3,60881400
-476,77440991;0,56459240;-3,16476900
-476,44672991;0,56459240;-3,16476900
-476,11904991;-3,81481300;-4,05285800
-475,79136991;0,56459240;-3,16476900
-475,46368992;0,56459240;-3,16476900
-475,13600992;0,56459240;-3,16476900
-474,80832992;0,56459240;-3,16476900
-474,48064992;0,56459240;-3,16476900
-474,15296992;0,56459240;-3,16476900
-473,82528993;0,56459240;-3,16476900
-473,49760993;0,56459240;-3,16476900
-473,16992993;0,56459240;-3,16476900
-472,84224993;-3,81481300;-3,16476900
-472,51456993;0,56459240;-2,71919900
-472,18688994;0,56459240;-3,16476900
-471,85920994;0,56459240;-3,16476900
-471,53152994;0,56459240;-3,16476900
-471,20384994;-3,81481300;-2,71919900
-470,87616994;0,56459240;-3,16476900
-470,54848995;0,56459240;-3,16476900
-470,22080995;-3,81481300;-3,16476900
-469,89312995;0,56459240;-2,71919900
-469,56544995;0,56459240;-2,71919900
-469,23776995;0,56459240;-2,71919900
-468,91008996;-3,81481300;-2,71919900
-468,58240996;0,56459240;-2,71919900
-468,25472996;0,56459240;-2,71919900
-467,92704996;0,56459240;-2,71919900
-467,59936996;0,56459240;-2,71919900
-467,27168997;0,56459240;-2,71919900
-466,94400997;0,56459240;-2,71919900
-466,61632997;0,56459240;-2,71919900
-466,28864997;0,56459240;-2,71919900
-465,96096997;0,56459240;-2,71919900
-465,63328998;0,56459240;-2,27515500
-465,30560998;0,56459240;-2,71919900
-464,97792998;0,56459240;-2,27515500
-464,65024998;0,56459240;-2,27515500
-464,32256998;0,56459240;-2,27515500
-463,99488999;-3,81481300;-2,71919900
-463,66720999;0,56459240;-2,71919900
-463,33952999;0,56459240;-2,27515500
-463,01184999;-3,81481300;-2,27515500
-462,68416999;0,56459240;-2,27515500
-462,35649000;-3,81481300;-2,27515500
-462,02881000;-3,81481300;-2,27515500
-461,70113000;0,56459240;-2,71919900
-461,37345000;0,56459240;-1,83111100
-461,04577000;0,56459240;-1,83111100
-460,71809001;-3,81481300;-2,27515500
-460,39041001;0,56459240;-1,83111100
-460,06273001;0,56459240;-2,71919900
-459,73505001;0,56459240;-1,83111100
-459,40737001;0,56459240;-2,27515500
-459,07969002;0,56459240;-2,27515500
-458,75201002;-3,81481300;-1,83111100
-458,42433002;0,56459240;-1,83111100
-458,09665002;0,56459240;-2,27515500
-457,76897002;-3,81481300;-1,38554000
-457,44129003;-3,81481300;-1,83111100
-457,11361003;0,56459240;-1,83111100
-456,78593003;-3,81481300;-1,83111100
-456,45825003;0,56459240;-1,83111100
-456,13057003;0,56459240;-1,83111100
-455,80289004;-3,81481300;-1,38554000
-455,47521004;0,56459240;-1,83111100
-455,14753004;0,56459240;-1,38554000
-454,81985004;0,56459240;-1,38554000
-454,49217004;-3,81481300;-1,38554000
-454,16449005;0,56459240;-1,38554000
-453,83681005;0,56459240;-1,38554000
-453,50913005;0,56459240;-1,38554000
-453,18145005;-3,81481300;-1,83111100
-452,85377005;0,56459240;-1,38554000
-452,52609006;0,56459240;-1,38554000
-452,19841006;0,56459240;-1,38554000
-451,87073006;0,56459240;-1,38554000
-451,54305006;0,56459240;-1,38554000
