Temps;Canal A;Canal B
(ms);(mV);(mV)

-500,69504976;303,49130000;9,27915300
-500,36736976;303,49130000;9,27915300
-500,03968977;303,49130000;9,27915300
-499,71200977;303,49130000;9,27915300
-499,38432977;303,49130000;9,27915300
-499,05664977;307,88600000;9,27915300
-498,72896977;303,49130000;9,27915300
-498,40128978;307,88600000;9,27915300
-498,07360978;303,49130000;8,83510900
-497,74592978;303,49130000;9,27915300
-497,41824978;303,49130000;9,27915300
-497,09056978;303,49130000;9,27915300
-496,76288979;299,09660000;8,83510900
-496,43520979;299,09660000;9,27915300
-496,10752979;299,09660000;8,39106400
-495,77984979;294,71720000;8,83510900
-495,45216979;294,71720000;9,27915300
-495,12448980;294,71720000;8,83510900
-494,79680980;290,32250000;9,27915300
-494,46912980;290,32250000;7,94549400
-494,14144980;285,92790000;8,83510900
-493,81376980;281,54850000;8,39106400
-493,48608981;281,54850000;7,94549400
-493,15840981;277,15380000;7,94549400
-492,83072981;272,75920000;7,94549400
-492,50304981;268,36450000;7,94549400
-492,17536981;268,36450000;7,50145000
-491,84768982;259,59040000;7,50145000
-491,52000982;259,59040000;7,50145000
-491,19232982;255,19580000;7,05740500
-490,86464982;246,42170000;7,50145000
-490,53696982;242,02700000;7,05740500
-490,20928983;237,63240000;7,05740500
-489,88160983;233,25300000;6,61336100
-489,55392983;224,46360000;6,16779000
-489,22624983;220,06900000;6,61336100
-488,89856983;211,29490000;6,16779000
-488,57088984;206,90020000;5,72374600
-488,24320984;198,12620000;5,72374600
-487,91552984;193,73150000;5,72374600
-487,58784984;184,95740000;5,72374600
-487,26016984;176,16810000;5,27970200
-486,93248985;167,39400000;4,83413200
-486,60480985;158,60470000;4,39008800
-486,27712985;149,83060000;4,39008800
-485,94944985;141,05650000;3,94604300
-485,62176985;132,26720000;3,94604300
-485,29408986;123,49310000;3,50199900
-484,96640986;114,70380000;3,05642900
-484,63872986;105,92970000;2,61238400
-484,31104986;92,76100000;2,61238400
-483,98336986;83,97167000;2,16834000
-483,65568987;75,19760000;2,16834000
-483,32800987;66,40827000;1,72429600
-483,00032987;53,23954000;1,28025200
-482,67264987;44,46547000;0,83620720
-482,34496987;35,67614000;0,83620720
-482,01728988;26,90207000;0,39216280
-481,68960988;18,11273000;0,39216280
-481,36192988;9,33866300;-0,05340739
-481,03424988;4,94399800;-0,49745170
-480,70656988;4,94399800;-0,94149600
-480,37888989;0,56459240;-0,94149600
-480,05120989;0,56459240;-2,27515500
-479,72352989;0,56459240;-1,38554000
-479,39584989;0,56459240;-2,27515500
-479,06816989;0,56459240;-2,71919900
-478,74048990;0,56459240;-2,71919900
-478,41280990;0,56459240;-3,16476900
-478,08512990;0,56459240;-3,16476900
-477,75744990;0,56459240;-4,05285800
-477,42976990;0,56459240;-4,05285800
-477,10208991;-3,81481300;-4,49690200
-476,77440991;-3,81481300;-4,94247300
-476,44672991;-3,81481300;-4,94247300
-476,11904991;0,56459240;-5,38651700
-475,79136991;0,56459240;-6,27613100
-475,46368992;0,56459240;-6,27613100
-475,13600992;0,56459240;-7,16422000
-474,80832992;-3,81481300;-6,72017600
-474,48064992;-3,81481300;-7,60826400
-474,15296992;0,56459240;-8,05383400
-473,82528993;0,56459240;-8,05383400
-473,49760993;0,56459240;-8,49787800
-473,16992993;0,56459240;-8,49787800
-472,84224993;0,56459240;-9,38749300
-472,51456993;0,56459240;-9,38749300
-472,18688994;-3,81481300;-9,83153800
-471,85920994;0,56459240;-10,27558000
-471,53152994;0,56459240;-10,71963000
-471,20384994;-3,81481300;-10,71963000
-470,87616994;-3,81481300;-11,60924000
-470,54848995;-3,81481300;-11,60924000
-470,22080995;0,56459240;-12,05328000
-469,89312995;0,56459240;-12,05328000
-469,56544995;-3,81481300;-12,49886000
-469,23776995;0,56459240;-12,94290000
-468,91008996;0,56459240;-13,38694000
-468,58240996;0,56459240;-13,83099000
-468,25472996;0,56459240;-13,83099000
-467,92704996;0,56459240;-14,27656000
-467,59936996;0,56459240;-14,27656000
-467,27168997;0,56459240;-14,72060000
-466,94400997;0,56459240;-15,16465000
-466,61632997;-3,81481300;-15,16465000
-466,28864997;0,56459240;-15,16465000
-465,96096997;0,56459240;-15,16465000
-465,63328998;0,56459240;-15,60869000
-465,30560998;0,56459240;-16,05426000
-464,97792998;0,56459240;-16,05426000
-464,65024998;0,56459240;-16,49831000
-464,32256998;0,56459240;-16,49831000
-463,99488999;0,56459240;-16,49831000
-463,66720999;0,56459240;-16,94235000
-463,33952999;0,56459240;-16,49831000
-463,01184999;-3,81481300;-17,38792000
-462,68416999;0,56459240;-17,38792000
-462,35649000;0,56459240;-16,49831000
-462,02881000;0,56459240;-17,83196000
-461,70113000;-3,81481300;-17,38792000
-461,37345000;0,56459240;-17,38792000
-461,04577000;0,56459240;-17,38792000
-460,71809001;0,56459240;-17,38792000
-460,39041001;0,56459240;-17,83196000
-460,06273001;-3,81481300;-17,38792000
-459,73505001;0,56459240;-17,38792000
-459,40737001;0,56459240;-17,38792000
-459,07969002;-3,81481300;-17,38792000
-458,75201002;0,56459240;-17,38792000
-458,42433002;0,56459240;-16,94235000
-458,09665002;0,56459240;-17,38792000
-457,76897002;0,56459240;-16,94235000
-457,44129003;-3,81481300;-16,94235000
-457,11361003;0,56459240;-16,94235000
-456,78593003;0,56459240;-17,38792000
-456,45825003;-3,81481300;-16,49831000
-456,13057003;0,56459240;-16,49831000
-455,80289004;-3,81481300;-16,49831000
-455,47521004;0,56459240;-16,05426000
-455,14753004;-3,81481300;-16,05426000
-454,81985004;0,56459240;-15,60869000
-454,49217004;0,56459240;-15,60869000
-454,16449005;0,56459240;-15,60869000
-453,83681005;0,56459240;-15,60869000
-453,50913005;0,56459240;-14,72060000
-453,18145005;0,56459240;-14,72060000
-452,85377005;0,56459240;-14,27656000
-452,52609006;0,56459240;-14,27656000
-452,19841006;0,56459240;-14,72060000
-451,87073006;0,56459240;-13,83099000
-451,54305006;-3,81481300;-13,83099000
-451,21537006;0,56459240;-13,38694000
-450,88769007;0,56459240;-13,38694000
-450,56001007;0,56459240;-13,38694000
-450,23233007;0,56459240;-12,49886000
