Temps;Canal A;Canal B
(ms);(mV);(mV)

-500,69504976;0,56459240;-2,71919900
-500,36736976;0,56459240;-2,71919900
-500,03968977;0,56459240;-2,71919900
-499,71200977;0,56459240;-2,71919900
-499,38432977;0,56459240;-2,71919900
-499,05664977;0,56459240;-2,71919900
-498,72896977;0,56459240;-2,71919900
-498,40128978;-3,81481300;-2,71919900
-498,07360978;0,56459240;-2,71919900
-497,74592978;0,56459240;-2,71919900
-497,41824978;0,56459240;-2,27515500
-497,09056978;0,56459240;-2,71919900
-496,76288979;0,56459240;-2,71919900
-496,43520979;0,56459240;-2,27515500
-496,10752979;0,56459240;-2,71919900
-495,77984979;-3,81481300;-2,71919900
-495,45216979;0,56459240;-2,27515500
-495,12448980;0,56459240;-2,71919900
-494,79680980;0,56459240;-2,27515500
-494,46912980;-3,81481300;-2,71919900
-494,14144980;-3,81481300;-2,27515500
-493,81376980;0,56459240;-1,83111100
-493,48608981;0,56459240;-2,27515500
-493,15840981;0,56459240;-2,27515500
-492,83072981;-3,81481300;-2,27515500
-492,50304981;0,56459240;-2,27515500
-492,17536981;0,56459240;-2,27515500
-491,84768982;0,56459240;-2,27515500
-491,52000982;-3,81481300;-2,27515500
-491,19232982;0,56459240;-2,27515500
-490,86464982;0,56459240;-1,83111100
-490,53696982;0,56459240;-2,27515500
-490,20928983;0,56459240;-2,27515500
-489,88160983;0,56459240;-2,27515500
-489,55392983;-3,81481300;-2,27515500
-489,22624983;0,56459240;-2,27515500
-488,89856983;0,56459240;-1,83111100
-488,57088984;0,56459240;-2,27515500
-488,24320984;0,56459240;-2,27515500
-487,91552984;0,56459240;-2,27515500
-487,58784984;0,56459240;-2,27515500
-487,26016984;-3,81481300;-1,83111100
-486,93248985;-3,81481300;-2,27515500
-486,60480985;0,56459240;-1,83111100
-486,27712985;-3,81481300;-2,27515500
-485,94944985;0,56459240;-1,83111100
-485,62176985;0,56459240;-1,83111100
-485,29408986;0,56459240;-1,38554000
-484,96640986;0,56459240;-1,83111100
-484,63872986;0,56459240;-1,83111100
-484,31104986;0,56459240;-1,83111100
-483,98336986;0,56459240;-1,38554000
-483,65568987;0,56459240;-1,83111100
-483,32800987;0,56459240;-1,83111100
-483,00032987;-3,81481300;-1,83111100
-482,67264987;0,56459240;-1,83111100
-482,34496987;-3,81481300;-1,83111100
-482,01728988;0,56459240;-1,83111100
-481,68960988;0,56459240;-1,83111100
-481,36192988;0,56459240;-1,83111100
-481,03424988;-3,81481300;-1,83111100
-480,70656988;-3,81481300;-1,38554000
-480,37888989;0,56459240;-1,83111100
-480,05120989;0,56459240;-1,38554000
-479,72352989;0,56459240;-1,83111100
-479,39584989;-3,81481300;-1,38554000
-479,06816989;0,56459240;-1,38554000
-478,74048990;0,56459240;-1,38554000
-478,41280990;0,56459240;-1,38554000
-478,08512990;0,56459240;-1,83111100
-477,75744990;-3,81481300;-1,38554000
-477,42976990;0,56459240;-1,38554000
-477,10208991;0,56459240;-1,38554000
-476,77440991;0,56459240;-1,83111100
-476,44672991;-3,81481300;-1,38554000
-476,11904991;0,56459240;-1,38554000
-475,79136991;0,56459240;-1,38554000
-475,46368992;0,56459240;-1,38554000
-475,13600992;0,56459240;-1,38554000
-474,80832992;0,56459240;-1,38554000
-474,48064992;0,56459240;-1,38554000
-474,15296992;0,56459240;-1,38554000
-473,82528993;0,56459240;-1,38554000
-473,49760993;0,56459240;-1,38554000
-473,16992993;0,56459240;-1,38554000
-472,84224993;0,56459240;-0,94149600
-472,51456993;-3,81481300;-1,38554000
-472,18688994;-3,81481300;-1,38554000
-471,85920994;0,56459240;-1,38554000
-471,53152994;0,56459240;-1,38554000
-471,20384994;0,56459240;-1,38554000
-470,87616994;0,56459240;-1,38554000
-470,54848995;0,56459240;-1,38554000
-470,22080995;0,56459240;-1,38554000
-469,89312995;0,56459240;-1,38554000
-469,56544995;0,56459240;-1,38554000
-469,23776995;-3,81481300;-1,38554000
-468,91008996;0,56459240;-1,38554000
-468,58240996;0,56459240;-1,38554000
-468,25472996;0,56459240;-0,94149600
-467,92704996;-3,81481300;-1,38554000
-467,59936996;0,56459240;-0,94149600
-467,27168997;0,56459240;-1,38554000
-466,94400997;-3,81481300;-1,38554000
-466,61632997;0,56459240;-1,38554000
-466,28864997;0,56459240;-0,94149600
-465,96096997;0,56459240;-1,38554000
-465,63328998;-3,81481300;-0,94149600
-465,30560998;0,56459240;-1,38554000
-464,97792998;-3,81481300;-1,38554000
-464,65024998;0,56459240;-0,94149600
-464,32256998;0,56459240;-0,94149600
-463,99488999;0,56459240;-0,94149600
-463,66720999;0,56459240;-0,94149600
-463,33952999;0,56459240;-0,94149600
-463,01184999;-3,81481300;-1,38554000
-462,68416999;0,56459240;-0,94149600
-462,35649000;-3,81481300;-1,38554000
-462,02881000;-3,81481300;-1,38554000
-461,70113000;0,56459240;-1,38554000
-461,37345000;0,56459240;-1,38554000
-461,04577000;0,56459240;-0,94149600
-460,71809001;0,56459240;-0,94149600
-460,39041001;0,56459240;-0,94149600
-460,06273001;0,56459240;-0,94149600
-459,73505001;-3,81481300;-0,94149600
-459,40737001;0,56459240;-0,94149600
-459,07969002;0,56459240;-0,94149600
-458,75201002;0,56459240;-0,94149600
-458,42433002;0,56459240;-0,94149600
-458,09665002;0,56459240;-0,94149600
-457,76897002;0,56459240;-0,94149600
-457,44129003;0,56459240;-0,94149600
-457,11361003;0,56459240;-0,94149600
-456,78593003;-3,81481300;-0,94149600
-456,45825003;0,56459240;-0,94149600
-456,13057003;0,56459240;-0,94149600
-455,80289004;0,56459240;-0,94149600
-455,47521004;-3,81481300;-0,94149600
-455,14753004;0,56459240;-0,49745170
-454,81985004;0,56459240;-0,94149600
-454,49217004;-3,81481300;-0,94149600
-454,16449005;0,56459240;-0,94149600
-453,83681005;0,56459240;-0,94149600
-453,50913005;-3,81481300;-0,94149600
-453,18145005;0,56459240;-0,94149600
-452,85377005;-3,81481300;-0,94149600
-452,52609006;-3,81481300;-0,94149600
-452,19841006;0,56459240;-0,94149600
-451,87073006;0,56459240;-0,49745170
-451,54305006;-3,81481300;-0,94149600
-451,21537006;0,56459240;-0,94149600
